käsite%teksti
aarremato%BS2001: "aarremato eräiden harsosääskitoukkien aika ajoin muodostama jopa kahden metrin pituinen jono, joka koostuu tuhansista koteloitumispaikkaa etsivistä yksilöistä. "
abdominaali%BS2001: "abdominaali(nen) abdominal (lat. abdomen = vatsa) vatsa-, vatsaan liittyvä; myös niveljalkaisten takaruumista tarkoittava. "
abduktio%BS2001: "abduktio abduction (lat. abductio < abducere = viedä pois ) loitontaminen (esim. raajan); abduktori, loitontaja, loitontajalihas. Vrt. adduktio. "
abneuraali%BS2001: "abneuraali(nen) abneural (kreik. neuron = hermo) hermosta poispäin sijaitseva. "
aboraalinen%BS2001: "aboraalinen aboral (lat. ab = pois oralis = suu-), suusta poispäin, suun vastakkaisella puolella oleva. Vrt. oraalinen. "
abortti%BS2001: "abortti abortion (lat. abortus < aboriri = menehtyä syntymässä) raskauden keskeytyminen tai keskeyttäminen, keskenmeno; adj. abortiivinen, raskauden keskeyttävä, alkiokehityksen keskeyttävä. "
ABO-veriryhmät%BS2001: "ABO-veriryhmät ABO blood groups veriryhmäjärjestelmä, joka perustuu ihmisen punasolujen pinnan tiettyjen glykoproteiinimolekyylien eli pinta-antigeenien rakenne-eroihin. Nämä molekyylit ovat veriryhmätekijöitä eli veriryhmäantigeeneja siksi, että ne voivat toimia antigeeneina eli saada aikaan vasta-aineiden muodostuksen elimistössä. ABO-veriryhmän määrityksessä näitä veriryhmätekijöitä kutsutaan A-ja B-antigeeneiksi. Osalla ihmisiä punasolujen pinnalla on vain A-antigeenia (A-veri), osalla vain B-antigeenia (B-veri), osalla molempia (AB-veri) ja osalla ei kumpaakaan (O-veri, nollaveri). Näitä veriryhmiä kutsutaan luonnollisiksi veriryhmiksi siksi, että yksilöillä, joilla kyseisiä antigeeneja ei punasoluissaan ole, muodostuu luonnostaan veriplasmaan vasta-aineita A- ja B-antigeeneja vastaan. Täten A-veressä on anti-B (vasta-aine), B-veressä anti-A, O-veressä anti-A ja anti-B. AB-veressä ei voi olla kumpaakaan vasta-ainetta, sillä punasolut takertuisivat yhteen vasta-aineiden avulla. Käytännössä veriryhmämääritys perustuukin juuri solujen yhteenliimautumiseen, agglutinaatioon. Mahdollisen punasolujen liimautumisen takia ABO-veriryhmäominaisuudet on otettava tarkasti huomioon verensiirroissa. Vrt. Rh-veri-ryhmä. "
sampikalat%BS2001: " sampikalat Acipenseriformes (lat. forma = muoto)"
ruumiinontelottomat%BS2001: " ruumiinontelottomat Acoelomata acoelomates (kreik. koiloma = ontelo) eläinkunnan jaksoryhmä, johon kuuluvilta lajeilta puuttuu ruumiinontelo, mutta joilla on hyvin kehittynyt embryonaalinen mesodermi. Tällaisia ovat laakamadot (Platyhelminthes), limamadot (Nemertea) ja kampaleukamadot (Gnathostomulida). Toisinaan myös alkeellisemmat pääjaksot, sienieläimet (Porifera), polttiaiseläimet (Cnidaria) ja kampamaneetit (Ctenophora) sijoitetaan tähän ryhmään. Vrt. Coelomata, Pseudocoeloma-ta. "
kallottomat%BS2001: "Acrania  (kreik. a = ei, kranion = kallo) kallottomat."
varsieväiset %BS2001: "varsieväiset Actinistia"
abstinenssi%BS2001: "abstinenssi abstinence (lat. abstinere = pidättyä) pidättyminen, vieroitus; erityisesti pidättyminen nauttimasta tiettyjä ruokia tai juomia; abstinenssioireet, hermostoltaan pitkälle kehittyneissä eläimissa (erityisesti ihmisessä) ilmeneviä vieroitusoireita, kun tiettyjen hermostoon vaikuttavien aineiden, kuten mor?inin tai alkoholin, käyttö lopetetaan. "
väkäkärsämadot%BS2001: "Acanthocephala  oas (kreik. akantha = piikki kefale = pää), väkäkärsämadot. "
sädejalkaiset%BS2001: " sädejalkaisetActinopoda (kreik. pous = jalka)"
viuhkaeväiset%BS2001: " viuhkaeväisetActinopterygii (kreik. pterygion = evä)"
Addisonin tauti%BS2001: "Addisonin tauti Addison’s disease (Thomas Addison,  1793-1860), lisämunuaisen kuoren krooninen vajaatoiminta; sairaus, jossa kortikoidien, etenkin glukokortikoidien, eritys on vähentynyt. Oireita ovat verenpaineen lasku, väsymys ja heikkouden tunne; stressin sieto on heikentynyt. Vrt. Cushingin tauti. "
adenoblasti%BS2001: "adenoblasti adenoblast (kreik. blastos = itu) kypsymätön sikiökautinen rauhassolu, josta kehittyy varsinainen rauhassolu, adenosyytti. "
adenohypofyysi%BS2001: "adenohypofyysi adenohypophysis (kreik. hypo = alla fyein = kasvaa), selkärankaisten aivolisäkkeen eli hypofyysin se osa, joka muodostuu Rathken taskusta; sisältää yleensä varsiosan (pars tuberalis), etulohkon (pars distalis) ja välilohkon (pars intermedia). "
adenoidinen%BS2001: "adenoidinen adenoid rauhasta muistuttava. "
adenokarsinooma%BS2001: "adenokarsinooma adenocarcinoma rauhassolusta kehittynyt syöpä (pahanlaatuinen kas-vain). "
adenooma%BS2001: "adenooma adenoma rauhaskasvain (hyvänlaatuinen). "
adolesenssi%BS2001: "adolesenssi adolescence (lat. adolescere = varttua aikuiseksi) nuoruusikä; murrosiän jälkivaihe, jolloin saavutetaan seksuaalinen kypsyys ja somaattinen kasvu pysähtyy. "
adoraalinen%BS2001: "adoraalinen adoral (lat. ad = lisä os, gen. oris = suu), lähellä suuta sijaitseva, suun viereinen, suuta kohti. "
adrenaliini%BS2001: "adrenaliini adrenaline3,4-dihydroksi-a-(me-tyyliaminoetyyli)bentsyylialkoholi; lisämunuaisen ydinkerroksen ym. kromaf? inikudoksen tuottama hormoni, jonka vaikutus välittyy pääasiassa beetareseptorien avulla (ks. adrenergiset reseptorit). Alemmilla selkärankaisilla, kuten kaloilla ja sammakkoeläimillä, se on myös hermoston välittäjäaine, joka toimii aivojen tietyissä synapseissa ja sympaattisen hermoston hermopäätteissä. Yhdessä noradrenaliinin ja dopamiinin kanssa se kuuluu kate-koliamiineihin, jotka muodostuvat kromaf?inisoluissa fenyylialaniinista. Adrenaliinia erittyy lisämunuaisista vereen nopeasti stressitilanteissa (taistele tai pakene), kun sympaattinen hermosto aktivoituu. Se parantaa eläimen toimintakykyä mm. lisäämällä sydämen lyöntitiheyttä ja voimaa, laajentamalla luustolihasten, aivojen ja sydämen verisuonia sekä tehostamalla hengitystä ja kohottamalla aineenvaihduntaa. Se lisää eläimen vireystilaa ja yhdessä endor?inien kanssa vähentää kivun tunnetta. Se on evolutiivisesti vanha elintoimintojen säätelijäaine, joka toimii myös selkärangattomien hermostossa ym. kudoksissa; tärkeä myös yksilönkehityksen säätelyssä. Syn. epinefriini. Vrt. noradrenaliini; ks. stressi. "
adrenerginen%BS2001: "adrenerginen adrenergic (kreik. ergon = työ) adrenaliinin tai noradrenaliinin tavoin vaikuttava, sitä erittävä tai sen välityksellä toimiva; esim. adrenerginen välitys, hermosolujen välinen yhteys, jossa adrenaliini tai noradrenaliini toimii välittäjäaineena. Noradrenaliinin vaikutuksista erikseen puhuttaessa käytetään termiä noradrenerginen. Vrt. kolinerginen. "
adrenergiset reseptorit%BS2001: "adrenergiset reseptorit adrenergic receptors (lat. receptor = vastaanottaja) adrenaliinin ja noradrenaliinin vaikutukset eläinten tiettyihin soluihin välittäviä vastaanottajamolekyylejä, proteiineja, solukalvolla. Ne ovat molekyylireseptorikompleksista, kun hormoni tai hermoston välittäjäainemolekyyli liittyy reseptoriin. Tällöin G-proteiini stimuloi (Gs-proteiini) tai inhiboi (Gi-proteiini) adenylaattisyklaasin toimintaa. Entsyymin vanhentunut nimitys on adenyylisyklaasi. Analoginen entsyymi soluissa on guanylaattisyklaasi, joka katalysoi erään toisen toisiolähetin, syklisen GMP:n, muodostumista; ks. guanosiinifosfaatit. "
ADI%BS2001: "ADI acceptable daily intake hyväksyttävä päivittäinen saanti; ympäristömyrkyn, elintarvikkeen lisäaineen ym. päivittäin elimistöön tuleva enimmäismäärä, joka katsotaan vielä vaarattomaksi. "
adipoosi%BS2001: "adipoosi adiposis ylimääräisen rasvan kertyminen kudoksiin, obesiteetti."
adiposyytti%BS2001: "adiposyytti adipocyte (kreik. kytos = ontelo solu), rasvasolu; ks. rasvakudos. "
adrenokortikaalinen%BS2001: "adrenokortikaalinen adrenocortical (lat. cortex = kuori) lisämunuaisen kuorikerrokseen "
adrenokortikotrooppinen hormoni%BS2001: "adrenokortikotrooppinen hormoni adreno-corticotrop(h)ic hormone ACTH (kreik. trope "
adrenolyyttinen%BS2001: "adrenolyyttinen adrenolytic (kreik. lysis = haihtuminen hajoaminen), adrenaliinin, noradre"
adrenosteroni%BS2001: "adrenosteroni adrenosterone 4-androsteeni- 3,11,17-trioni; yksi lisämunuaisen kuorikerroksen erittämistä koirashormoneista; ts. androgeeninen steroidi, jota sekä koiraat että naaraat erittävät. "
afidifagi%BS2001: "afidifagi aphidiphage (Aphis = hyönteissuku kreik. fagein = syödä), kirvansyöjä; esim. harsokorento, leppäpirkko; syn. a? divori (aphidivore). "
afodaalitiehyt%BS2001: "afodaalitiehyt aphodus (kreik. afodos = ulos johtava tie) sienieläinten lyhyt tiehyt, jonka kautta vesi kulkee siimakammiosta vievään kanavaan ja sieltä spongokeeliin. Vrt. prosoditiehyt. "
afagia%BS2001: "kyvyttömyys syömiseen, nielemiskyvyttömyys. "
ikä%BS2001: "aetas (lat.) ikä; aetas conceptus hedelmöitys ikä. "
afasia%BS2001: "afasia aphasy (kreik. afasia = puhumattomuus) aivoperäinen puhe- ja kirjoituskyvyn sekä puheen ja tekstin ymmärtämisen häiriö; adj. afaattinen. "
affekti%BS2001: "affekti affection (lat. affectus = kiihtymys mielentila), mielenkiihtymys, tunnekuohu. "
afferentti%BS2001: "afferentti afferent (lat. afferens < afferre = tuoda) tuova, elimeen päin kulkeva; esim. afferent-ti hermosyy, impulsseja keskushermostoa kohti tuova hermosyy; afferentti suoni, elimeen tuova veri- tai imusuoni. Vastakohta efferentti. "
agglutinaatio%BS2001: "agglutinaatio agglutination (lat. agglutinare = liimata) tarttuminen yhteen, liimautuminen; esim. verisolujen tai bakteerisolujen vasta- ai nei-den vaikutuksesta johtuva yhteen takertuminen ja saostuminen (kokkaroituminen). Tätä käytetään hyväksi veriryhmämäärityksessä, jolloin seerumin vasta-ainetta sanotaan agglutiniiniksi (agglutinin). Ainetta (esim. veriryhmätekijä tai jokin muu antigeeni), joka elimistöön joutuessaan saa aikaan agglutiniinin muodostumista, kutsutaan agglutinogeeniksi (agglutinogen). "
aggressiivisuus%BS2001: "aggressiivisuus aggressiveness kyky tai taipumus käyttäytyä vihamielisesti, hyökkäävästi. "
aggressio%BS2001: "aggressio aggression hyökkäävä tunnereaktio, vihamielinen toiminta; eläimillä erityisesti avoin, haittaa tuottava käyttäytymistoiminta tai uhkailu, joka hyödyn tavoittelemiseksi kohdistetaan toiseen yksilöön; eräiden etologisten teorioiden mukaan aggressio on monilla eläinlajeilla viettitoimintaa (aggressiovietti), johon kuitenkin myös oppimisella on vaikutuksensa. Adj. aggressiivinen, hyökkäävä. "
agonia%BS2001: "agonia agony (kreik. agonia = taistelu) äärimmäinen kärsimystila, kuolinkamppailu. "
agonistinen käyttäytyminen%BS2001: "agonistinen käyttäytyminen agonistic behaviour eläinten käyttäytyminen, joka ilmenee aggressiivisissa vuorovaikutussuhteissa, mutta sisältää paitsi hyökkääviä myös pakenevia ja tyynnyttäviä elementtejä. Agonistinen käyttäytyminen kattaa myös hajauttavan käyttäytymisen käsitteen. Se on yleistä varsinkin tiheissä populaatioissa, joissa ympäristöresurssit ovat niukkoja ja pakottavat varsinkin nuoria yksilöitä lähtemään pois. "
jyvässolukato%BS2001: "agranulosytoosi agranulocytosis (engl. granulocyte = jyvässolu) jyvässolukato, ts. granulosyyttien puutos veressä. "
agranulosyytit%BS2001: "agranulosyytit agranulocytes toisinaan käytetty yhteisnimi selkärankaisten veren niille valkosoluille, joissa ei ole jyväsiä ja jotka eivät siten kuulu granulosyytteihin eli jyvässoluihin; käsittää monosyytit ja imusolut. "
ahvenkalat%BS2001: "ahvenkalat perches Perciformes, suuri ja monimuotoinen luukalalahko, johon kuuluvia lajeja on kaikkialla maapallolla sekä makeissa vesissä että merissä. Ahvenkaloilla on yleensä vah-vat eväpiikit ja karkeat kampasuomut (eräiltä lajeilta ne puuttuvat); uimarakon tiehyt puuttuu. Lahko käsittää yhteensä noin 7000 lajia ja 150 heimoa, joista tunnetuimpia ovat ahvenet (Percidae), meriahvenet (Serranidae), mullot (Mullidae), kirjoahvenet (Cichlidae), keltit (Mugilidae), barrakudat (Sphyraenidae), huulikalat (Labridae), elaskat (Stichaeidae), teistit (Pholididae), tuulenkalat (Ammodytidae) ja tokot (Gobiidae). "
AIDS%BS2001: "AIDS acquired immunodeficiency syndrome kädellisten immuunikatotauti; tarttuva tauti (ks. immuunikato), jonka ihmisissä aiheuttaa retroviruksiin kuuluva HI-virus eli HIV ja apinoissa SI-virus (SIV, simian immunode?ciency virus), josta HIV:in arvellaan kehittyneen. Tauti tarttuu kudosnesteiden (veri, siemenneste) tai limakalvokontaktin välityksellä etenkin sukupuoliyhteydessä tai käytettyjen ruiskuneulojen välityksellä vereen. Taudin itämisaika on pitkä, mutta sairastuminen johtaa taudin loppuvaiheessa elimistön puolustusmekanismin toiminnan lamaantumiseen ja lopulta kuolemaan. "
aisti%BS2001: "aisti sense eläinten kyky ottaa vastaan ärsykkeitä ja käsitellä niitä. Ainakin hermostoltaan ke-hittyneimmät eläimet usein myös tajuavat är sytystilan, jolloin syntyy aistimus (havainto). Al-kueläimillä soluruumiin tietyt osat saattavat olla erikoistuneet tietyn ärsykelajin vastaanottoon (esim. siimaeläinten silmäpilkku). Monisoluisilla eläimillä ärsytyksen vastaanotto tapahtuu yleensä aistimissa, joissa aistinsolut tai niiden osat (aistinreseptorit) ärtyvät usein vain tietylle ärsykelajille (adekvaatti ärsyke). Aistimina voivat toimia myös hermosolut, erityisesti niiden vapaat hermopäätteet. Vanhastaan ihmisellä on ajateltu olevan viisi aistia: näkö, kuulo, haju, maku ja tunto. Nykyisin niitä erotetaan enemmän; mm. tuntoaistissa on kipu-, kosketus-, paine- ja lämpötilaaisti erotettavissa eri aisteiksi. Lisäksi elimistössä on erillisiä aistimia liikkeen ja tasapainon aistimiseksi sekä runsaasti erilaisia aistinelimiä tai erillisiä aistinsoluja (esim. verenpainetta, veren kaasujen pitoisuutta ja elimistön lämpötilaa mittaavia aistinreseptoreja), joiden toiminnasta ei synny lainkaan aistimuksia. "
aistimus%BS2001: "aistimus sensation ks. aisti. "
aistin%BS2001: "aistin 1. sense organ aistinelin; aistitoimintaan liittyvä ärsytyksen vastaanottoelin, silmä, "
aistinadaptaatio%BS2001: "aistinadaptaatio sensory adaptation aistimen sopeutuminen ärsytyksen voimakkuuteen; voi tapahtua nopeasti (faasiset aistinreseptorit) tai hitaasti tai ei tapahdu lainkaan (tooniset aistinreseptorit). Edellisestä esimerkkejä ovat ihmisen ihon painereseptorit ja hajureseptorit, jälkimmäisestä kipureseptorit. Ilmiö perustuu aistinsolujen solukalvon ioniläpäisevyyden muuttumiseen, kun ärsyke jatkuu pitempään. Aistinadaptaatioon voivat vaikuttaa myös aistimen lisärakenteet. Esim. silmässä adaptaatio liittyy aistimeen tulevan valon määrän säätelyyn (selkärankaissilmässä mustuaisen nopea pieneneminen tai laajeneminen) sekä toisaalta aistinsolujen näköpigmentin synteesiin ja hajoamiseen valaistuksen voimakkuuden mukaan. Vrt. habituaatio. "
aistinepiteeli%BS2001: "aistinepiteeli sensory epithelium aistinsoluja sisältävä pinta- eli epiteelikudos, joka voi olla epiteelistä erilaistuneita soluja (esim. sisäkorvan ja kielen aistinsolut) tai hermosoluista tai sen osista erilaistuneita aistinreseptoreita (esim. silmän valoreseptorit, nenän hajuepiteeli). "
aistinkarva%BS2001: "aistinkarva sensillum selkärangattomien ihon sukaskarva, johon liittyy erilaisia ärsykkeitä vas-taanottava aistinsolu (tai muutamia soluja) ja yksi tai useampia hermopäätteitä. Vrt. karvasolu."
aistinradat%BS2001: "aistinradat sensory pathways aistimista aivoihin kulkevat hermoradat. Selkärankaisten aistinradat muodostuvat 2-5 peräkkäisestä hermosolusta. Aistimesta lähtevän radan ensimmäisen hermosolun hermosyy (kuulo- ja näköradoissa vasta 2. ja 3. hermosolu) kulkee ääreishermostossa jossakin aistinhermossa tai sekahermossa selkäytimeen tai suoraan aivoihin. Seuraavan hermosolun hermosyy johtaa keskushermostossa väliaivojen talamukseen, josta seuraava hermosolu yleensä vie etuaivojen kuorikerrokseen. Kahden neuronin hajurata kulkee suoraan etuaivoihin (isoaivoihin) ja usein kipurata päättyy jo väliaivoihin. Aistinradat jaetaan kahteen ryhmään: spesi? set aistinradat (näkö-, kuulo-, haju- ja makurata) sekä somatosensoriset radat (tuntoaistinradat eli kosketus-, paine-, kipu- ja lämpötila-aistinrata). Ks. somatosensoriset mekanismit. "
aistinreseptori%BS2001: "aistinreseptori sensory receptor (lat. receptor = vastaanottaja) aistimen ärsykkeitä vastaanottava solu tai sen osa; ks. aistin, reseptori. "
aistinsolukarva%BS2001: "aistinsolukarva kinocilium stereocilium, ks. karvasolu. "
aitopeto%BS2001: "aitopeto true predator tosipeto. "
aitososiaalisuus%BS2001: "aitososiaalisuus eusociality sosiaalisuuden kehittynein muoto. Evoluutiossa sitä edeltää esi-sosiaalisuus, jolloin eläimillä on jo havaittavissa useita sosiaalisen käyttäytymisen muotoja. Aitososiaalisuuden tunnusmerkkejä ovat mm. seuraavat ominaisuudet: lajin yksilöt hoitavat jälkeläisiä yhdessä, yhteiskunnan jäsenten kesken vallitsee työnjako siten, että steriilit yksilöt työskentelevät lisääntyvien yksilöiden puolesta, ja sukupolvet ovat limittäisiä siten, että jälkeläiset auttavat ainakin osan elämästään vanhempiaan. Aitososiaalisuutta tavataan erityisesti termiiteillä ja sosiaalisilla myrkkypistiäisillä, kuten muurahaisilla, ampiaisilla ja mehiläisillä. Aitososiaalisena nisäkkäänä on tunnettu kaljurotta (Heterocephalus glaber). "
aitososiaalisuusindeksi%BS2001: "aitososiaalisuusindeksi eusociality index (lat. index = osoitin) mittaluku, joka kuvaa aitososiaalisten eläinten sosiaalisuuden astetta. Se mittaa, missä määrin sosiaalisten eläinten yhdyskuntien altruististen kastien (ks. altruismi) lisääntyminen on alentunut muiden yhdyskunnan jäsenten hyväksi. "
aivastus%BS2001: "aivastus sneeze nisäkkäillä nenäontelon hermopäätteiden ärsytyksestä alkava hermorefleksi, joka ohjaa nopean hengitysilman purkauksen nenäonteloon ärsyttävän materiaalin poistamiseksi. Aivastusre?eksin keskus sijaitsee aivojen ydinjatkeessa. "
aivoganglio%BS2001: "aivoganglio cerebral ganglion serebraaliganglio (kerebraaliganglio); selkärangattomien aivot; ks. hermosto. Vrt. tumake. "
aivohermot%BS2001: "aivohermot cranial nerves (lat. nervi crania-les) selkärankaisten aivojen pohjaan liittyvät hermot, joita nisäkkäillä on 12 paria, kaloilla 10 paria. Ensimmäinen aivohermo on hajuhermo (nervus olfactorius), joka välittää hajuärsykkeitä nenän limakalvolta sensorisina hermoimpulsseina etuaivojen hajukäämiin (bulbus olfactorius); muodostuu useista hermosyykimpuista, hajukuiduista (? la olfactoria). Näköhermo (n. opticus, toinen aivohermo) välittää vastaavasti valoärsykkeitä silmän verkkokalvolta väliaivojen pohjaan, jossa eri puolilta tulevat hermoradat muodostavat näköhermon ristin (chiasma opticum). Kolmas aivohermo on silmän liikehermo (n. oculomotorius), joka samoin kuin neljäs, telahermo (n. trochlearis), ja kuudes, loitontajahermo (n. abducens), hermottaa silmän liikuttajalihaksia. Kolmannen aivohermon mukana kulkee myös tahdosta riippumattoman parasympaattisen hermoston hermosyitä silmän mustuaisen kurojalihakseen. Viides aivohermo, kolmoishermo (n. trigeminus), jakautuu kolmeksi haaraksi, jotka tulevat kasvojen alueelle ja toimivat sekä aistin- (mm. maku-) että liikehermoina (purentalihakset). "
aivojuovio%BS2001: "aivojuovio striate body striatum (lat. corpus striatum), selkärankaisten etuaivojen sisällä ole-va tumakeryhmä, jossa subkortikaalista valkeaa ainetta on harmaa-ainealueiden välissä (siitä juovaisuus); kuuluu osana tyvitumakkeisiin eli basaaliganglioihin. Aivojuovio käsittää linssitumakkeen (nucleus lentiformis, joka edelleen sisältää tumakkeet putamen ja globus pallidus) sekä häntätumakkeen (nucleus caudatus). Aivojuovio kuuluu liikkeitä säätelevään ekstrapyramidaalijärjestelmään. "\nBS2001: "corpus striatum (lat. stria = juova) aivojuovio. "
aivokaari%BS2001: "aivokaari fornix (of cerebrum) selkärankaisten etuaivojen kaaren muotoinen osa, joka yhdistää etuaivojen hippocampuksen väliaivojen hypotalamukseen (mm. mamillaaritumakkeisiin). "
aivokalvot%BS2001: "aivokalvot meninges yks. meninx, selkärankaisten aivoja ja selkäydintä peittävät sidekudoskalvot: uloinna paksuin, kovakalvo (dura mater), keskimmäisenä lukinkalvo eli seittikalvo (arachnoidea) ja sisinnä pehmeäkalvo (pia mater), joka myötäilee tiukasti aivojen ja selkäytimen pintaa. Kahden viimeksi mainitun väliin jää lukinkalvonontelo, joka sisältää aivo-selkäydinnestettä. Kovakalvo muo-dostaa etu- ja pikkuaivopuoliskojen väliin aivosirpit. "
aivokammiot%BS2001: "aivokammiot brain ventricles neljä onteloa selkärankaisten aivojen sisällä. Suurimmat niistä ovat I ja II aivokammio, jotka ovat etuaivopuoliskojen sisässä; III aivokammio sijaitsee väliaivoissa ja IV aivokammio pikkuaivojen alla sekä ydinjatkeen sisällä. Kolmatta ja neljättä aivokammiota yhdistää kapea aivonesteviemäri, ja neljäs kammio jatkuu kapeana selkäytimen keskuskanavana. Syn. aivoventrikkelit; ks. aivo-selkäydinneste. "
aivokartasto%BS2001: "aivokartasto 1. brain atlas aivoanatomiaa käsittelevä kuvasto; 2. brain stereotaxic (stereotactic) atlas, stereotaksinen kartta; ks. stereotaksinen laite. "
aivokoppa%BS2001: "aivokoppa neurocranium (engl. lat.), selkärankaisten aivoja ympäröivä rusto- tai luukoppa. "
aivokuori%BS2001: "aivokuori cerebral cortex etuaivokuori; cerebellar cortex, pikkuaivokuori; ks. etuaivot, pikkuaivot. "
aivolohkot%BS2001: "aivolohkot cerebral lobes selkärankaisten etuaivoissa aivouurteiden jakamia alueita, joista esim. kädellisten aivoissa erottuvat hyvin toisistaan otsa- eli frontaalilohkot, päälaki- eli parietaalilohkot, ohimo- eli temporaalilohkot ja takaraivo- eli oksipitaalilohkot (okkipitaalilohkot). Toiminnallisesti eri aivolohkot poikkeavat toisistaan; niissä on aistin-, liike- tai assosiatiivisia aivoalueita. Myös vasemman ja oikean puolen vastaavat aivolohkot voivat poiketa toisistaan. "
