käsite;käsitesuhde;lähikäsite
suomi_termi_1;koostumussuhteinen yläkäsite;koostumussuhteinen yläkäsite
hammaslaitainen;yläkäsite;lehtilaita
hammaslaitainen;yläkäsite;nirhalaitainen
hammaslaitainen;yläkäsite;nyhälaitainen
hammaslaitainen;yläkäsite;sahalaitainen
hammaslaitainen;;lehtilaita
hankasilmu;koostumussuhteinen yläkäsite;lehti
hankasilmu;yläkäsite;silmu
hede;yläkäsite;kukkalehti
hede;koostumussuhteinen yläkäsite;kukka
hede;koostumussuhteinen alakäsite;palho
hede;koostumussuhteinen alakäsite;ponsi
hede;vieruskäsite;emi
hede;yläkäsite;kukkalehti
aitolehti;yläkäsite;lehti ikänsä suhteen
aitolehti;vieruskäsite;varhaislehti
aitolehti;vieruskäsite;myöhäislehti
aitolehti;yläkäsite;kasvulehti
aitolehti;;sirkkalehti
sirkkalehti;yläkäsite;lehti ikänsä suhteen
sirkkalehti;koostumussuhteinen yläkäsite;verso
sirkkalehti;;varsilehti
sirkkalehti;;kasvulehti
sirkkalehti;;esilehti
sirkkalehti;;varhaislehti
sirkkalehti;;myöhäislehti
alalehti;yläkäsite;lehti
alalehti;yläkäsite;lehti
aluslehti;yläkäsite;lehti
aluslehti;vieruskäsite;varsilehti
aluslehti;yläkäsite;kasvulehti
siitoslehtiperä;koostumussuhteinen yläkäsite;kehä
siitoslehtiperä;;emiöperä
siitoslehtiperä;;hetiöperä
ehyt;yläkäsite;lehti jakautumisen suhteen
ehyt;;kerrannaislehti
ehytlaitainen;yläkäsite;lehtilaita
ehytlaitainen;vieruskäsite;hammaslaitainen
ehytlaitainen;;lehtilaita
ehytlaitainen;;ehyt
emi;yläkäsite;kukkalehti
emi;koostumussuhteinen yläkäsite;kukka
emi;yläkäsite;kukkalehti
emi;vieruskäsite;hede
emi;koostumussuhteinen alakäsite;sikiäin
emi;koostumussuhteinen alakäsite;vartalo
emi;koostumussuhteinen alakäsite;luotti
epämukainen;yläkäsite;elimen symmetrisyys; kukka; lehti
epämukainen;vieruskäsite;tasamukainen
epämukainen;vieruskäsite;peilisymmetrinen
epämukainen;vieruskäsite;säteittäissymmetrinen
epämukainen;vieruskäsite;symmetrinen
epämukainen;vieruskäsite;vastakohtainen
erillinen;yläkäsite;lehti
erillinen;vieruskäsite;yhdistynyt
erillislehtinen;yläkäsite;emiö; teriö; verhiö
erillislehtinen;yläkäsite;erillisverhiöinen
erillislehtinen;yläkäsite;erillisteriöinen
erillislehtinen;yläkäsite;erilliseminen
helve;yläkäsite;lehti
helve;koostumussuhteinen yläkäsite;kukinto
helve;koostumussuhteinen yläkäsite;tähkylä
helve;yläkäsite;ulkohelve
helve;yläkäsite;sisähelve
helve;;vihne
helve;;kale
helve;;kauna
herttatyvinen;yläkäsite;lehden tyvi
herttatyvinen;vieruskäsite;keihästyvinen
herttatyvinen;vieruskäsite;kiilatyvinen
herttatyvinen;vieruskäsite;nuolityvinen
herttatyvinen;vieruskäsite;suippotyvinen
herttatyvinen;;herttamainen
huuli;yläkäsite;terälehti
huuli;koostumussuhteinen yläkäsite;teriö
huuli;;huulimainen
huuli;yläkäsite;ylähuuli
huuli;yläkäsite;alahuuli
huuli;koostumussuhteinen yläkäsite;teriö
huuli;koostumussuhteinen yläkäsite;verhiö
ilmalehti;yläkäsite;vesikasvin lehti
ilmalehti;vieruskäsite;kelluslehti
ilmalehti;vieruskäsite;uposlehti
jakoinen;yläkäsite;lehti liuskaisuuden suhteen
jakoinen;vieruskäsite;halkoinen
jakoinen;vieruskäsite;osainen
jakoinen;yläkäsite;liuskainen
johteinen;yläkäsite;lehden tyvi
johteinen;vieruskäsite;sepivä
kaksilehdykkäinen;yläkäsite;parilehdykkäinen
kaksilehdykkäinen;yläkäsite;parilehdykkäinen
kaksilehdykkäinen;;sormilehdykkäinen
kaksiosainen;yläkäsite;lehti liuskaisuuden suhteen
kaksiosainen;;kaksiliuskainen
kaksiosainen;vieruskäsite;kaksihalkoinen
kaksiosainen;vieruskäsite;kaksijakoinen
kale;yläkäsite;lehti
kale;koostumussuhteinen yläkäsite;tähkylä
kale;yläkäsite;ulkokale
kale;yläkäsite;sisäkale
kale;yläkäsite;tähkylä
kapean vastapuikea;yläkäsite;lehtilavan muoto
kapean vastapuikea;yläkäsite;vastapuikea
kapean vastapuikea;vieruskäsite;kapeanpuikea
kapean vastapuikea;;puikea
kapeanpuikea;yläkäsite;lehtilavan muoto
kapeanpuikea;yläkäsite;puikea
kapeanpuikea;vieruskäsite;kapean vastapuikea
kapeansoikea;yläkäsite;lehtilavan muoto
kapeansoikea;yläkäsite;soikea
kapeansoikea;vieruskäsite;kapeanpuikea
kapeansoikea;vieruskäsite;kapeansuikea
kapeansuikea;yläkäsite;lehtilavan muoto
kapeansuikea;yläkäsite;suikea
kapeansuikea;vieruskäsite;kapeansoikea
kapeansuikea;vieruskäsite;kapeanpuikea
kasvulehti;yläkäsite;lehti
kasvulehti;yläkäsite;aluslehti
kasvulehti;yläkäsite;varsilehti
kasvulehti;;varhaislehti
kasvulehti;;aitolehti
kasvulehti;;myöhäislehti
kehtosuomu;yläkäsite;ylälehti
kehtosuomu;koostumussuhteinen yläkäsite;kehto
kehtosuomu;koostumussuhteinen yläkäsite;kehto
kehtosuomu;yläkäsite;ylälehti
kehälehti;yläkäsite;kukkalehti
kehälehti;koostumussuhteinen yläkäsite;kukka
kehälehti;yläkäsite;terälehti
kehälehti;yläkäsite;verholehti
kehälehti;yläkäsite;kukkalehti
kehälehti;;kehäliuska
keihäsmäinen;yläkäsite;lehtilavan muoto
keihäsmäinen;vieruskäsite;nuolityvinen
keihäsmäinen;;keihästyvinen
laakaruoti;yläkäsite;varsi
laakaruoti;koostumussuhteinen yläkäsite;lehti
laakaruoti;yläkäsite;ruoti
laakaruoti;;laakavarsi
laakaruoti;;laakaverso
