termi;käsite;käännettävyys;kieli;sanaluokka;sanamuoto;perussanatyyppi;johdostyyppi;status;etymologia
hammaslaitainen;hammaslaitainen;;suomi;adjektiivi;yhdyssana;;-inen;;
hampainen;hammaslaitainen;;suomi;adjektiivi;yhdistämätön;;-inen;;
tenntur;hammaslaitainen;=;islanti;;;;;;
djúpskertur;hammaslaitainen;=;islanti;;;;;;
tentur;hammaslaitainen;=;fääri;;;;;;
djúpskorin;hammaslaitainen;=;fääri;;;;;;
tandet;hammaslaitainen;=;tanska;;;;;;
indskåre;hammaslaitainen;=;tanska;;;;;;
tannet;hammaslaitainen;=;norja;;;;;;
innskåret;hammaslaitainen;=;norja;;;;;;
pykälaitainen;hammaslaitainen;;suomi;adjektiivi;yhdyssana;;-inen;;
toothed;hammaslaitainen;=;englanti;;;;;;
dentate;hammaslaitainen;=;englanti;;;;;;
incised;hammaslaitainen;=;englanti;;;;;;
inskuren kant;hammaslaitainen;=;ruotsi;;;;;;
tandad;hammaslaitainen;=;ruotsi;;;;;;
inskuren;hammaslaitainen;=;ruotsi;;;;;;
hankasilmu;hankasilmu;;suomi;substantiivi;yhdyssana;;;;
sivusilmu;hankasilmu;;suomi;substantiivi;yhdyssana;;;;
aksillaarisilmu;hankasilmu;;suomi;substantiivi;yhdyssana;;;;
axillary bud;hankasilmu;=;englanti;;;;;;
sidoknopp;hankasilmu;=;ruotsi;;;;;;
lateralknopp;hankasilmu;=;ruotsi;;;;;;
axillärknopp;hankasilmu;=;ruotsi;;;;;;
hede;hede;;suomi;substantiivi;yhdistämätön;;-e;;
hedelehti;hede;;suomi;substantiivi;yhdyssana;;;;
frævill;hede;=;islanti;;;;;;
sáðberi;hede;=;fääri;;;;;;
støvbærer;hede;=;tanska;;;;;;
støvblad;hede;=;tanska;;;;;;
støvdrager;hede;=;tanska;;;;;;
pollenbærer;hede;=;norja;;;;;;
stamen (pl. stamina; stamens);hede;=;englanti;;;;;;
ståndare;hede;=;ruotsi;;;;;;
aitolehti;aitolehti;;suomi;substantiivi;yhdyssana;;;;
true leaf;aitolehti;=;englanti;;;;;;
egentlig mellanblad;aitolehti;=;ruotsi;;;;;;
sirkkalehti;sirkkalehti;;suomi;substantiivi;yhdyssana;;;;kreik. kotyledon 'kupinmuotoinen onkalo'; sirkka, sirkeä?
alkeislehti;sirkkalehti;;suomi;substantiivi;yhdyssana;;;;
kímblað;sirkkalehti;=;islanti;;;;;;
gróðrarblað;sirkkalehti;=;fääri;;;;;;
kimblad;sirkkalehti;=;tanska;;;;;;
